channel,date,color
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Green
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Green
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Green
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_24,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Green
NBC,2013_08_28,Green
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_28,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Green
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Green
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Green
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Green
NBC,2013_08_25,Green
NBC,2013_08_25,Green
NBC,2013_08_25,Green
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Green
NBC,2013_08_25,Yellow
NBC,2013_08_25,Green
NBC,2013_08_25,Green
NBC,2013_08_25,Green
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_25,Yellow
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Yellow
NBC,2013_08_23,Yellow
NBC,2013_08_23,Green
NBC,2013_08_23,Yellow
NBC,2013_08_23,Yellow
NBC,2013_08_23,Green
NBC,2013_08_23,Yellow
NBC,2013_08_23,Yellow
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Yellow
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Yellow
NBC,2013_08_23,Yellow
NBC,2013_08_23,Yellow
NBC,2013_08_23,Green
