year,tag,sentences,channel
2011,Green,7, FOX
2013,Green,23, FOX
2015,Green,12, FOX
2016,Green,1, FOX
2011,Yellow,2, FOX
2013,Yellow,4, FOX
2015,Yellow,13, FOX
2016,Yellow,5, FOX
2011,Red,1, FOX
2013,Red,0, FOX
2015,Red,2, FOX
2016,Red,1, FOX
