channel,date,color,value
NBC,2017_10_03,green,200
NBC,2017_10_03,yellow,72
NBC,2017_10_03,red,272
NBC,2017_10_04,green,120
NBC,2017_10_04,yellow,43
NBC,2017_10_04,red,163
NBC,2017_10_05,green,195
NBC,2017_10_05,yellow,3
NBC,2017_10_05,red,198
NBC,2017_10_06,green,19
NBC,2017_10_06,yellow,61
NBC,2017_10_06,red,82
NBC,2017_10_07,green,15
NBC,2017_10_07,yellow,15
NBC,2017_10_07,red,30
