channel,date,color,value
FOX,2017_10_03,green,152
FOX,2017_10_03,yellow,19
FOX,2017_10_03,red,171
FOX,2017_10_05,green,80
FOX,2017_10_05,yellow,82
FOX,2017_10_05,red,162
FOX,2017_10_06,green,30
FOX,2017_10_06,yellow,37
FOX,2017_10_06,red,68
