ABC_2017_09_25.txt/A36ZLJPURT0ILP, Male, 45, PA, 2, Yes, Democratic

ABC_2017_09_25.txt/A2V8LLZRTOP79S, Female, 25, CA, 5, Yes, Republican

ABC_2017_09_25.txt/A31BHRW6QKVBQ9, Male, 22, IN, 4, Yes, Independent

ABC_2017_09_25.txt/A73CNVUAKO1AY, Male, 20, TX, 5, Yes, Independent

ABC_2017_09_25.txt/A3HKZTDVORNEZ, Female, 24, IN, 3, Yes, Independent

ABC_2017_09_26.txt/A1G1IJV48OWFG6, Male, 22, default, 7, No, Independent

ABC_2017_09_26.txt/A1WGAGT5ZN4A3X, Female, 39, GA, 0, No, Independent

ABC_2017_09_26.txt/A31BHRW6QKVBQ9, Male, 22, IN, 4, Yes, Independent

ABC_2017_09_26.txt/A2V8LLZRTOP79S, Female, 25, FL, default, Yes, Independent

ABC_2017_09_26.txt/A1U5HJN8JXXLI7, Female, 48, OR, 4, Yes, Republican

ABC_2017_10_03.txt/ABL3H3O3BI8ZD, Male, 28, NY, 4, Yes, Republican

ABC_2017_10_03.txt/A3SD02HCW68EUL, Male, 26, NY, 3, Yes, Democratic

ABC_2017_10_03.txt/A1E6XBV7FDHI6M, default, default, default, default, default, default

ABC_2017_10_03.txt/ACXBX9CNHAFGW, Male, 28, CA, 4, Yes, Democratic

ABC_2017_10_03.txt/A2GIYD0TEI3V62, Female, 23, TX, 3, No, Independent

ABC_2017_10_04.txt/A2V8LLZRTOP79S, Female, 25, CA, 4, Yes, Republican

ABC_2017_10_04.txt/A3D0SZN2SSX1, Male, 25, IN, 1, Yes, Democratic

ABC_2017_10_04.txt/A73CNVUAKO1AY, Male, 20, TX, 5, Yes, Independent

ABC_2017_10_04.txt/A3HKZTDVORNEZ, Female, default, IN, 5, Yes, Independent

ABC_2017_10_04.txt/A2OOVCEJ5BL1G, Male, 28, TX, 4, Yes, Republican

ABC_2017_10_05.txt/A2HOR5GFCXLPIO, Female, 27, MS, 1, Yes, Republican

ABC_2017_10_05.txt/A1KCEVCJ87REYM, Female, 24, WA, default, No, Independent

ABC_2017_10_05.txt/A3HKZTDVORNEZ, Female, default, IN, 4, Yes, Independent

ABC_2017_10_05.txt/A31UQ59FGOQBBF, Male, 30, FL, 4, Yes, Independent

ABC_2017_10_05.txt/A2TCOV49RNTECD, Female, 29, NC, 5, Yes, Democratic

ABC_2017_10_06.txt/A2NPUPP06POEJ0, Male, 26, IN, 3, Yes, Republican

ABC_2017_10_06.txt/A33XZFIZU249JA, Male, 29, NY, 4, Yes, Green

ABC_2017_10_06.txt/A1JNK18ZXH7FTK, Male, 66, IL, 6, Yes, Independent

ABC_2017_10_06.txt/A2JCE6MD27QA5D, Male, 65, MA, 7, Yes, Democratic

ABC_2017_10_06.txt/ANT979UZZF7N0, Female, 59, WY, 7, Yes, Democratic

ABC_2017_10_07.txt/A2C84POENS2UNY, Female, 37, NC, 5, Yes, Republican

ABC_2017_10_07.txt/AOZ5HHRV4LTJF, Female, 24, NY, 1, Yes, Democratic

ABC_2017_10_07.txt/A3AS4FEB057TRG, Female, 33, TX, 7, Yes, Independent

ABC_2017_10_07.txt/A38OVWILIUQNXR, Female, 30, FL, 5, Yes, Green

ABC_2017_10_07.txt/A3HKZTDVORNEZ, Female, 24, IN, 3, Yes, Independent

FOX_2017_04_05.txt/A3HT6A9N2R5540, Male, 26, TX, 4, Yes, Democratic

FOX_2017_04_05.txt/A31UVMRUFGGJ12, Female, 22, IN, 3, Yes, Green

FOX_2017_04_05.txt/AWZNJH4KB3QOH, Female, 30, CA, 3, No, Independent

FOX_2017_04_05.txt/A3F7GUAEGUGAW1, Male, 25, IN, 3, Yes, Democratic

FOX_2017_04_05.txt/A1FFLQ2D4WTF7H, Female, 31, CA, 2, Yes, Democratic

FOX_2017_04_06.txt/A3HKZTDVORNEZ, Female, 24, IN, 3, Yes, Independent

FOX_2017_04_06.txt/A3F7GUAEGUGAW1, Male, 25, IN, 3, Yes, Democratic

FOX_2017_04_06.txt/A2XSD1WTLSVW1O, Male, 24, CA, 5, Yes, Democratic

FOX_2017_04_06.txt/A37WRUBCVORYH1, Male, 26, MD, 5, Yes, Liberterian

FOX_2017_04_06.txt/A2LX5G9FWLYBIW, Male, 23, FL, 7, Yes, Republican

FOX_2017_05_12.txt/A2UIRHKDQBWJEZ, Male, 25, default, 0, Yes, Democratic

FOX_2017_05_12.txt/A1Y2N49VMVJ7C6, Female, 22, IN, 2, Yes, Republican

FOX_2017_05_12.txt/A2UVS1PDM9QM4Z, Female, 26, IN, 2, Yes, Green

FOX_2017_05_12.txt/A1K19WHZZWON8N, Female, 58, OH, 6, Yes, Republican

FOX_2017_05_12.txt/A2JES6GMR9DNUA, Female, 43, IN, 0, Yes, Independent

FOX_2017_05_15.txt/A31UVMRUFGGJ12, Male, 22, IN, 3, Yes, Green

FOX_2017_05_15.txt/A3TY2K1HBA19PO, Male, 21, MI, 4, Yes, Independent

FOX_2017_05_15.txt/A33XZFIZU249JA, Male, 29, NY, 4, Yes, Green

FOX_2017_05_15.txt/A2X3WNRH7FO4F5, Male, 28, default, 5, Yes, Democratic

FOX_2017_05_15.txt/A8SP23ECDU4F0, Male, 22, VA, 1, Yes, Republican

FOX_2017_05_16.txt/A2OD4LJKPZDL2J, Male, 26, IN, 4, Yes, Democratic

FOX_2017_05_16.txt/A3O8F3194SOXNL, Male, 28, NC, 1, Yes, Independent

FOX_2017_05_16.txt/A22Z6G81DCSXSK, Male, 37, FL, 5, Yes, Republican

FOX_2017_05_16.txt/AF8KEA2127EAN, Female, 31, VA, 0, Yes, Democratic

FOX_2017_05_16.txt/A1H10VPY2MQWN4, Female, 36, TX, 7, Yes, Republican

FOX_2017_10_03.txt/A1VCELFTBZ8PTJ, Male, 33, AL, 1, Yes, Independent

FOX_2017_10_03.txt/A2DJ4RYKLA9M1U, Female, 35, AZ, 7, Yes, Independent

FOX_2017_10_03.txt/A3DMLZASIE8BN6, Male, 30, FL, 6, Yes, Independent

FOX_2017_10_03.txt/AVWOJ5CIC397W, Male, 36, GA, 5, Yes, Independent

FOX_2017_10_03.txt/A3SNSWMNXQEHAO, Female, 25, CA, default, Yes, Republican

FOX_2017_10_05.txt/AHRUMV5C1O0TD, Female, 24, default, 5, Yes, Green

FOX_2017_10_05.txt/A3SNSWMNXQEHAO, Female, 24, WA, default, Yes, Democratic

FOX_2017_10_05.txt/A33XZFIZU249JA, Male, 29, NY, 4, Yes, Green

FOX_2017_10_05.txt/A21ZCKHK1MVE8J, Female, 39, OH, 5, Yes, Democratic

FOX_2017_10_05.txt/A38IIP4LGXBB2C, Female, 22, IN, 1, Yes, Independent

FOX_2017_10_06.txt/A2OD4LJKPZDL2J, Male, 25, AK, 7, Yes, Democratic

FOX_2017_10_06.txt/A4HVKPYLYFRT8, Female, 59, KS, 7, Yes, Independent

FOX_2017_10_06.txt/A3C7HDRFUAA3IJ, Female, 24, FL, 7, Yes, Democratic

FOX_2017_10_06.txt/A2FFCUNQOTTTHI, Male, 35, UT, 1, Yes, Independent

FOX_2017_10_06.txt/ADIH1ENKY9TYM, Female, 23, CO, 0, Yes, Green

NBC_2017_04_05.txt/A1PBRKFHSF1OF8, Female, 32, PA, 3, Yes, Republican

NBC_2017_04_05.txt/AUMBQM1CXWX0, Male, 44, VA, 3, Yes, Democratic

NBC_2017_04_05.txt/A2Q7OYBC1ADCFB, Male, 68, MD, 7, Yes, Democratic

